timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
1179:36,16,9,28,72,69,58,1,1,39:55,942:36,28,52.84,12.5,1,0,1,3,197:05,39,-12,25,1476,17:05,13:39,02:51,00:34
1504:25,11,7,79,151,68,88,2,6,160:14,1232:41,79,0.0,4.6,3,0,0,0,111:30,90,-21,18,1883,22:07,18:07,01:38,02:21
1112:11,20,25,41,155,65,74,11,18,206:17,891:54,41,32.43,16.1,3,1,0,0,14:00,36,-4,45,1374,17:06,13:43,00:12,03:10
72:26,1,1,0,1,5,5,0,0,00:00,68:22,0,0.0,100.0,0,0,0,0,04:04,7,1,2,91,14:29,13:40,00:48,00:00
1584:26,23,8,52,114,69,81,3,10,137:22,1277:50,52,0.0,7.0,2,0,0,0,169:14,97,-20,31,1924,22:57,18:31,02:27,01:59
417:53,5,1,17,25,29,27,0,0,02:29,402:01,17,0.0,4.0,1,0,0,0,13:23,39,-6,6,564,14:24,13:51,00:27,00:05
969:45,31,13,12,158,66,12,5,15,164:10,805:25,12,33.33,8.2,2,0,0,0,00:10,7,-15,44,1173,14:41,12:12,00:00,02:29
1003:22,17,4,6,62,56,31,0,1,72:35,918:16,6,0.0,6.5,1,0,0,0,12:31,75,-8,21,1269,17:55,16:23,00:13,01:17
417:46,1,3,77,39,43,87,0,0,02:13,406:41,77,21.05,7.7,1,0,0,0,08:52,27,-2,4,562,09:42,09:27,00:12,00:03
899:52,12,11,57,141,68,102,0,0,53:47,841:58,57,0.0,7.8,1,0,0,0,04:07,26,-19,23,1169,13:14,12:22,00:03,00:47
882:07,5,2,23,29,50,63,0,1,06:03,772:26,23,0.0,6.9,0,0,0,0,103:38,91,-13,7,1190,17:38,15:26,02:04,00:07
192:10,3,1,4,17,10,20,0,0,00:16,171:52,4,0.0,5.9,0,0,0,0,20:02,21,7,4,252,19:13,17:11,02:00,00:01
1057:23,24,8,14,97,65,62,3,8,106:40,818:37,14,43.27,8.2,1,0,2,4,132:06,19,-12,32,1343,16:16,12:35,02:01,01:38
574:48,5,4,20,59,49,64,0,0,01:14,470:43,20,47.04,6.8,0,0,2,3,102:51,32,8,9,797,11:43,09:36,02:05,00:01
237:54,2,4,2,21,18,16,0,0,01:13,201:18,2,50.0,19.0,0,0,0,0,35:23,6,1,6,320,13:13,11:11,01:57,00:04
838:58,16,16,6,101,60,29,1,6,120:47,716:17,6,23.07,15.8,2,0,0,0,01:54,22,-6,32,1096,13:58,11:56,00:01,02:00
122:45,2,0,4,11,12,19,0,0,00:12,120:51,4,50.0,0.0,0,0,0,0,01:42,6,4,2,158,10:13,10:04,00:08,00:01
1047:32,22,14,12,123,58,48,2,10,155:56,838:15,12,51.73,11.4,1,0,1,2,53:21,37,-16,36,1278,18:03,14:27,00:55,02:41
967:47,14,7,10,123,61,12,4,9,193:42,772:59,10,36.14,5.7,2,1,0,0,01:06,21,-26,21,1104,15:51,12:40,00:01,03:10
686:06,4,10,41,67,48,133,0,0,02:14,571:52,41,53.48,14.9,1,0,3,5,112:00,39,12,14,987,14:17,11:54,02:20,00:02
803:01,8,1,20,49,38,81,0,0,02:15,695:01,20,0.0,2.0,0,0,0,2,105:45,83,4,9,969,21:07,18:17,02:46,00:03
1106:16,9,2,14,96,64,135,1,1,05:24,968:51,14,0.0,2.1,0,0,0,0,132:01,128,-11,11,1420,17:17,15:08,02:03,00:05
47:51,0,1,4,5,4,23,0,0,01:02,46:49,4,0.0,20.0,0,0,0,0,00:00,0,2,1,66,11:57,11:42,00:00,00:15
1231:25,12,2,16,60,63,30,0,1,01:42,1027:43,16,0.0,3.3,0,0,0,2,202:00,155,1,14,1603,19:32,16:18,03:12,00:01
604:38,10,4,10,46,48,123,0,0,01:22,536:37,10,39.53,8.7,1,0,0,1,66:39,29,2,14,848,12:35,11:10,01:23,00:01
496:43,4,3,22,35,37,127,0,0,01:37,412:37,22,44.44,8.6,0,0,1,2,82:29,38,6,7,734,13:25,11:09,02:13,00:02
903:59,22,10,16,110,66,115,3,10,113:35,787:41,16,55.18,9.1,1,0,0,0,02:43,24,-2,32,1234,13:41,11:56,00:02,01:43
1149:06,29,14,10,94,68,20,2,9,122:18,929:08,10,50.0,14.9,2,0,1,1,97:40,48,-12,43,1484,16:53,13:39,01:26,01:47
1033:05,24,16,12,136,58,37,4,11,150:29,882:00,12,33.33,11.8,1,0,0,0,00:36,39,1,40,1183,17:48,15:12,00:00,02:35
573:17,3,5,40,49,55,242,0,0,04:25,558:19,40,42.85,10.2,2,0,0,0,10:33,24,-1,8,818,10:25,10:09,00:11,00:04
1266:44,18,3,14,72,60,62,1,4,70:14,1146:57,14,0.0,4.2,0,0,0,0,49:33,72,-1,21,1525,21:06,19:06,00:49,01:10
1244:09,23,20,47,195,68,102,2,7,155:21,1087:49,47,45.22,10.3,6,1,0,0,00:59,50,8,43,1486,18:17,15:59,00:00,02:17
1282:28,28,26,32,175,68,49,4,7,138:04,1037:12,32,51.76,14.9,5,3,0,0,107:12,44,6,54,1649,18:51,15:15,01:34,02:01
316:22,3,3,2,28,28,31,0,0,00:43,279:15,2,0.0,10.7,1,0,0,1,36:24,22,-4,6,450,11:17,09:58,01:18,00:01
1283:31,16,26,49,151,67,128,5,10,119:11,1013:04,49,53.52,17.2,5,1,3,6,151:16,53,4,42,1863,19:09,15:07,02:15,01:46
1336:06,8,5,53,98,67,93,0,0,03:39,1165:06,53,0.0,5.1,1,0,0,2,167:21,117,8,13,1658,19:56,17:23,02:29,00:03
1523:44,25,10,14,163,68,110,3,8,120:08,1302:12,14,0.0,6.1,3,1,0,0,101:24,139,8,35,1788,22:24,19:09,01:29,01:46
255:36,1,3,78,16,32,93,0,0,00:06,255:30,78,100.0,18.8,0,0,0,0,00:00,14,1,4,362,07:59,07:59,00:00,00:00
625:19,6,4,12,59,53,81,0,0,14:36,610:18,12,71.42,6.8,0,0,0,0,00:25,21,-8,10,849,11:47,11:30,00:00,00:16
1394:50,22,6,16,122,68,55,1,6,152:16,1236:53,16,0.0,4.9,1,1,0,0,05:41,75,1,28,1732,20:30,18:11,00:05,02:14
1362:55,41,19,44,171,68,22,4,12,179:11,1183:08,44,41.6,11.1,2,0,0,0,00:36,43,5,60,1503,20:02,17:23,00:00,02:38
1173:41,21,18,15,132,68,86,3,7,120:49,1009:02,15,69.23,13.6,3,2,1,1,43:50,36,-11,39,1505,17:15,14:50,00:38,01:46
94:56,0,0,2,4,12,12,0,0,00:00,93:44,2,36.92,0.0,0,0,0,0,01:12,4,0,0,127,07:54,07:48,00:06,00:00
451:25,6,1,8,37,34,25,0,1,30:27,419:01,8,0.0,2.7,0,0,0,0,01:57,31,-1,7,589,13:16,12:19,00:03,00:53
121:35,0,1,50,9,22,36,0,0,00:02,121:07,50,58.33,11.1,0,0,0,0,00:26,6,-7,1,196,05:31,05:30,00:01,00:00
917:23,9,2,16,46,52,69,0,0,02:55,772:35,16,0.0,4.3,0,0,0,0,141:53,76,5,11,1187,17:38,14:51,02:43,00:03
688:18,5,3,71,45,62,90,0,0,03:07,557:05,71,100.0,6.7,0,0,1,2,128:06,41,-12,8,955,11:06,08:59,02:03,00:03
1086:44,21,24,58,156,63,116,9,13,218:33,866:17,58,43.08,15.4,5,0,0,0,01:54,42,13,45,1334,17:14,13:45,00:01,03:28
506:56,4,5,17,40,53,69,0,0,01:01,455:59,17,49.28,12.5,0,0,1,2,49:56,24,-2,9,760,09:33,08:36,00:56,00:01
1145:53,17,12,20,84,69,125,0,0,07:15,976:03,20,34.61,14.3,1,0,2,2,162:35,53,16,29,1520,16:36,14:08,02:21,00:06
1371:02,41,18,48,154,70,45,3,17,206:37,1007:34,48,47.51,11.7,3,0,0,1,156:51,32,21,59,1670,19:35,14:23,02:14,02:57
1232:50,34,41,14,208,57,51,15,27,209:11,874:11,14,49.16,19.7,6,2,3,5,149:28,49,9,75,1452,21:37,15:20,02:37,03:40
225:46,3,1,2,35,20,38,0,0,00:20,223:59,2,0.0,2.9,0,0,0,0,01:27,20,1,4,315,11:17,11:11,00:04,00:01
1579:30,20,7,61,168,70,173,4,8,125:01,1279:20,61,0.0,4.2,1,0,0,2,175:09,128,-12,27,1908,22:33,18:16,02:30,01:47
1151:13,30,16,24,148,68,80,4,9,156:20,993:44,24,17.39,10.8,1,0,0,0,01:09,22,2,46,1395,16:55,14:36,00:01,02:17
1311:32,38,15,47,149,68,48,3,19,209:15,1098:55,47,0.0,10.1,3,2,0,0,03:22,57,12,53,1549,19:17,16:09,00:02,03:04
759:21,12,6,111,86,59,164,2,5,77:08,644:42,111,36.73,7.0,0,0,1,2,37:31,52,-14,18,1023,12:52,10:55,00:38,01:18
1421:40,63,32,20,209,69,25,7,24,257:34,1162:43,20,50.0,15.3,4,0,0,0,01:23,18,36,95,1496,20:36,16:51,00:01,03:43
1323:18,34,8,32,125,70,35,1,13,138:46,1175:28,32,0.0,6.4,4,0,0,0,09:04,92,22,42,1636,18:54,16:47,00:07,01:58
994:00,13,1,47,47,60,94,0,0,01:43,862:45,47,0.0,2.1,0,0,0,0,129:32,70,16,14,1370,16:34,14:22,02:09,00:01
140:46,3,0,8,10,17,15,0,0,01:14,139:29,8,33.33,0.0,0,0,0,0,00:03,7,1,3,218,08:16,08:12,00:00,00:04
919:59,10,9,28,64,70,69,1,2,20:17,759:03,28,48.17,14.1,2,0,0,2,140:39,67,-11,19,1331,13:08,10:50,02:00,00:17
890:27,9,14,10,114,60,13,1,3,76:50,811:58,10,38.44,12.3,2,0,0,0,01:39,31,-7,23,1109,14:50,13:31,00:01,01:16
942:24,13,10,14,109,66,20,2,13,147:01,794:09,14,33.33,9.2,3,1,0,0,01:14,11,-26,23,1179,14:16,12:01,00:01,02:13
983:28,21,19,8,151,66,25,4,9,169:08,813:13,8,34.78,12.6,2,0,0,0,01:07,18,5,40,1335,14:54,12:19,00:01,02:33
12:32,0,0,0,0,1,2,0,0,00:00,12:32,0,0.0,0.0,0,0,0,0,00:00,0,-1,0,16,12:32,12:32,00:00,00:00
528:15,7,11,4,72,30,31,3,4,67:30,416:39,4,40.62,15.3,0,0,0,0,44:06,16,4,18,763,17:36,13:53,01:28,02:15
124:29,1,0,21,5,16,35,0,0,00:23,123:43,21,0.0,0.0,0,0,0,0,00:23,4,-7,1,212,07:46,07:43,00:01,00:01
895:16,11,4,30,67,70,118,0,0,04:09,734:49,30,55.01,6.0,1,0,0,1,156:18,50,-1,15,1382,12:47,10:29,02:13,00:03
1489:32,25,8,29,126,68,124,4,13,139:26,1171:23,29,0.0,6.3,0,0,1,1,178:43,84,15,33,1894,21:54,17:13,02:37,02:03
1309:57,32,21,28,197,69,45,7,20,214:13,1031:39,28,59.03,10.7,6,0,1,2,64:05,16,7,53,1814,18:59,14:57,00:55,03:06
1070:41,16,3,18,70,62,91,0,1,03:39,948:27,18,0.0,4.3,0,0,0,0,118:35,84,-2,19,1533,17:16,15:17,01:54,00:03
1176:02,44,12,31,132,69,17,4,17,203:18,970:42,31,35.0,9.1,3,1,0,0,02:02,21,14,56,1566,17:02,14:04,00:01,02:56
779:15,10,15,30,94,56,54,2,2,41:29,604:16,30,51.58,16.0,5,0,3,5,133:30,25,1,25,1154,13:54,10:47,02:23,00:44
759:07,12,8,12,76,63,132,0,0,03:18,689:44,12,27.77,10.5,1,0,0,0,66:05,42,11,20,1157,12:02,10:56,01:02,00:03
1223:18,18,23,34,175,69,88,4,7,113:24,971:19,34,50.24,13.1,5,2,4,4,138:35,22,-6,41,1647,17:43,14:04,02:00,01:38
1368:23,37,22,30,185,69,60,4,13,190:31,1037:23,30,59.62,11.9,4,1,0,0,140:29,26,21,59,1792,19:49,15:02,02:02,02:45
715:45,14,13,26,74,49,109,0,0,05:50,626:23,26,53.87,17.6,2,0,0,0,83:32,26,13,27,1016,14:36,12:47,01:42,00:07
768:18,7,5,20,73,42,14,1,5,110:37,655:25,20,0.0,6.8,1,0,0,0,02:16,37,-4,12,993,18:17,15:36,00:03,02:38
717:18,12,8,14,66,58,73,0,1,02:42,641:06,14,50.25,12.1,2,0,1,1,73:30,25,-2,20,1121,12:22,11:03,01:16,00:02
764:14,10,3,30,38,49,136,1,1,01:40,708:30,30,0.0,7.9,0,0,0,0,54:04,79,14,13,1089,15:35,14:27,01:06,00:02
1390:38,17,8,32,110,69,41,0,4,62:33,1203:24,32,0.0,7.3,0,0,0,0,124:41,79,4,25,1875,20:09,17:26,01:48,00:54
406:26,8,7,19,48,36,82,2,3,29:16,370:40,19,33.33,14.6,1,0,0,0,06:30,16,1,15,615,11:17,10:17,00:10,00:48
1109:03,37,24,28,141,66,63,5,23,189:31,918:19,28,48.98,17.0,3,0,0,0,01:13,30,-1,61,1443,16:48,13:54,00:01,02:52
1714:09,23,13,24,150,69,84,7,16,210:05,1314:34,24,0.0,8.7,3,1,0,1,189:30,111,11,36,2025,24:50,19:03,02:44,03:02
855:21,12,4,30,78,50,80,0,0,07:08,831:01,30,0.0,5.1,0,0,0,0,17:12,44,17,16,1176,17:06,16:37,00:20,00:08
733:29,13,8,39,81,52,31,1,2,70:27,649:10,39,30.0,9.9,1,0,0,0,13:52,18,6,21,1013,14:06,12:29,00:16,01:21
804:30,23,20,14,127,39,46,6,10,123:46,671:12,14,47.82,15.7,4,1,0,0,09:32,19,11,43,981,20:37,17:12,00:14,03:10
1028:06,11,11,14,117,66,57,1,1,97:43,912:57,14,47.36,9.4,3,1,0,0,17:26,24,-5,22,1364,15:34,13:49,00:15,01:28
1073:40,49,25,58,171,55,38,7,24,203:06,869:04,58,50.34,14.6,5,0,0,0,01:30,22,7,74,1340,19:31,15:48,00:01,03:41
830:55,31,16,15,109,41,28,4,17,157:53,661:15,15,55.63,14.7,4,2,0,0,11:47,17,-8,47,1000,20:15,16:07,00:17,03:51
1304:08,8,3,26,63,67,183,0,0,04:32,1151:54,26,0.0,4.8,0,0,1,1,147:42,97,-1,11,1680,19:27,17:11,02:12,00:04
1569:15,29,15,38,177,61,101,6,15,214:19,1220:38,38,0.0,8.5,2,0,0,0,134:18,91,0,44,1762,25:43,20:00,02:12,03:30
828:28,15,17,36,168,52,107,3,7,173:55,654:25,36,33.33,10.1,2,0,0,0,00:08,41,9,32,1072,15:55,12:35,00:00,03:20
914:15,9,3,6,86,46,36,0,6,126:15,780:37,6,0.0,3.5,0,0,0,0,07:23,50,-13,12,1157,19:52,16:58,00:09,02:44
589:33,7,1,10,35,28,44,0,1,18:22,511:31,10,0.0,2.9,0,0,1,1,59:40,35,17,8,742,21:03,18:16,02:07,00:39
980:14,21,20,21,111,60,53,7,12,137:09,836:49,21,29.26,18.0,4,0,0,0,06:16,23,-4,41,1185,16:20,13:56,00:06,02:17
159:02,1,1,8,18,13,19,0,0,16:11,137:51,8,39.58,5.6,0,0,0,0,05:00,7,3,2,231,12:14,10:36,00:23,01:14
1087:05,29,27,30,151,55,71,8,17,153:57,843:10,30,20.0,17.9,4,2,1,2,89:58,35,14,56,1451,19:45,15:19,01:38,02:47
1091:00,13,9,25,102,69,83,0,0,07:46,918:48,25,45.16,8.8,2,0,0,2,164:26,35,2,22,1597,15:48,13:18,02:22,00:06
605:32,4,2,12,44,41,74,0,0,01:14,551:56,12,0.0,4.5,0,0,0,0,52:22,25,4,6,880,14:46,13:27,01:16,00:01
825:49,13,10,10,102,63,28,1,3,74:42,749:46,10,25.0,9.8,1,0,0,0,01:21,26,-5,23,1082,13:06,11:54,00:01,01:11
1006:05,21,14,17,150,66,89,2,6,111:23,862:02,17,46.41,9.3,4,1,0,0,32:40,27,6,35,1464,15:14,13:03,00:29,01:41
1338:40,20,2,35,79,69,106,0,2,60:16,1190:31,35,0.0,2.5,0,0,0,0,87:53,84,9,22,1791,19:24,17:15,01:16,00:52
481:02,7,6,23,56,50,95,0,0,01:17,449:04,23,49.57,10.7,1,0,0,0,30:41,17,5,13,735,09:37,08:58,00:36,00:01
45:45,0,1,4,5,8,13,0,0,00:00,45:29,4,0.0,20.0,0,0,0,0,00:16,5,-1,1,73,05:43,05:41,00:02,00:00
1133:35,20,6,20,61,56,72,1,4,42:05,977:56,20,0.0,9.8,0,0,0,0,113:34,77,17,26,1495,20:14,17:27,02:01,00:45
507:53,4,6,14,75,45,24,1,1,21:04,452:57,14,46.69,8.0,1,0,0,0,33:52,15,-8,10,715,11:17,10:03,00:45,00:28
922:04,15,7,12,102,64,57,0,1,30:45,876:36,12,35.71,6.9,0,0,0,0,14:43,20,-9,22,1280,14:24,13:41,00:13,00:28
1003:41,14,11,16,95,68,244,0,1,06:19,848:12,16,40.0,11.6,4,2,2,3,149:10,65,-1,25,1555,14:45,12:28,02:11,00:05
822:23,7,6,28,98,57,136,0,0,29:59,701:41,28,30.43,6.1,0,0,1,1,90:43,30,6,13,1245,14:25,12:18,01:35,00:31
499:53,6,1,6,38,36,74,0,2,41:46,455:26,6,0.0,2.6,0,0,0,0,02:41,24,3,7,724,13:53,12:39,00:04,01:09
1428:44,9,5,60,86,68,78,0,0,03:36,1209:06,60,0.0,5.8,2,0,0,0,216:02,101,26,14,1665,21:00,17:46,03:10,00:03
1142:16,25,31,28,203,61,46,11,20,220:35,816:58,28,57.89,15.3,5,1,1,1,104:43,46,23,56,1397,18:43,13:23,01:43,03:36
1047:36,30,13,23,83,61,37,3,14,112:56,931:41,23,50.33,15.7,3,1,0,0,02:59,32,14,43,1213,17:10,15:16,00:02,01:51
1361:39,59,28,82,185,70,55,5,28,258:24,992:09,82,43.13,15.1,5,0,1,3,111:06,19,25,87,1568,19:27,14:10,01:35,03:41
397:02,1,2,11,33,24,36,0,0,04:21,347:07,11,0.0,6.1,0,0,0,0,45:34,27,-2,3,525,16:32,14:27,01:53,00:10
1175:14,21,16,21,145,70,83,1,5,130:47,981:21,21,46.63,11.0,3,0,2,2,63:06,34,9,37,1423,16:47,14:01,00:54,01:52
833:35,4,6,47,78,67,192,0,0,04:34,730:31,47,46.18,7.7,0,0,1,1,98:30,31,-8,10,1183,12:26,10:54,01:28,00:04
580:36,3,4,17,49,48,91,0,0,01:28,486:19,17,14.28,8.2,0,0,0,0,92:49,31,-6,7,832,12:05,10:07,01:56,00:01
917:02,17,6,34,95,69,145,0,1,01:49,803:06,34,48.75,6.3,0,0,0,1,112:07,31,-2,23,1255,13:17,11:38,01:37,00:01
1249:44,40,9,33,144,61,36,2,28,236:53,1007:03,33,0.0,6.3,4,2,0,0,05:48,48,-4,49,1467,20:29,16:30,00:05,03:53
1227:59,17,4,34,112,68,56,1,7,105:02,1053:48,34,0.0,3.6,1,0,0,1,69:09,67,15,21,1643,18:03,15:29,01:01,01:32
80:37,0,0,0,9,7,20,0,0,00:00,70:51,0,0.0,0.0,0,0,0,0,09:46,5,-1,0,117,11:31,10:07,01:23,00:00
447:04,0,2,12,20,31,90,0,0,02:34,430:22,12,0.0,10.0,0,0,0,0,14:08,33,4,2,610,14:25,13:52,00:27,00:04
679:06,12,9,97,78,48,102,2,3,75:41,600:24,97,12.5,11.5,2,0,0,0,03:01,17,1,21,887,14:08,12:30,00:03,01:34
1327:15,47,48,40,279,70,47,20,38,263:13,1063:23,40,38.88,17.2,10,1,0,0,00:39,22,21,95,1450,18:57,15:11,00:00,03:45
749:59,10,9,10,66,58,43,1,1,19:25,701:09,10,33.33,13.6,0,0,0,0,29:25,21,5,19,959,12:55,12:05,00:30,00:20
